name,category,post_count,aliases
barefoot,0,364382,"bare_feet,barefeet,bare_foot"
artist_name,0,361712,
glasses,0,359421,"megane,meganekko,meganeko"
pussy,0,356567,"manko,vagina,vulva"
solo_focus,0,351130,
indoors,0,350796,
puffy_sleeves,0,341782,"/psleeves,puffy_shoulders"
hand_up,0,340417,"hand_raised,one_hand_raised,raised_hand"
black_thighhighs,0,338244,
day,0,337381,
belt,0,336048,belts
hairclip,0,329452,"barrette,hair_clip,hair_clips,hairclips"
fate_(series),3,320337,
official_alternate_costume,0,318640,"alternate_costume_(official),official_alternate_outfit"
fang,0,315664,
serafuku,0,312763,"sailor_fuku,/se"
elbow_gloves,0,300040,"/eg,long_gloves,opera_gloves"
official_art,5,299942,
midriff,0,296266,
bowtie,0,295036,"bow_tie,neck_bow"
2boys,0,293855,2boy
white_gloves,0,293079,white_glove
hood,0,290257,
signature,0,290211,"artist_signature,autograph,signed"
black_skirt,0,289535,
cloud,0,287211,clouds
blunt_bangs,0,281812,
dark_skin,0,279513,"brown_skin,darkskin,dark_skin_female,dark_skinned_female"
black_footwear,0,278013,"black_boots,black_shoes"
looking_back,0,277112,"looking_over_shoulder,turning"
cat_ears,0,275113,"/cat,catears,nekomimi"
hair_flower,0,273227,"flower_hair_ornament,flower_in_hair,hairflower,hair_flowers,/hflower"
tongue_out,0,272381,
pink_eyes,0,270868,
sword,0,269692,swords
sailor_collar,0,268669,
stomach,0,262873,
sex,0,261413,"fuck,fucking"
pokemon,3,259226,"pocket_monsters,pokémon,pokemons"
white_dress,0,259109,
grey_background,0,257854,"gray_background,/graybg,/greybg"
twitter_username,0,257311,artist_twitter
looking_at_another,0,256285,
fingerless_gloves,0,255443,fingerless_glove
halo,0,255297,
miniskirt,0,255275,"mini_skirt,short_skirt"
holding_weapon,0,253366,
wide_sleeves,0,251721,/wsleeves
spread_legs,0,249512,"legs_spread,open_legs,spread_leg"
on_back,0,247403,"lying_on_back,supine"
mole,0,245741,beauty_mark
cum,0,243468,"cumshot,semen,sperm"
necklace,0,240642,
hair_over_one_eye,0,239332,"eye_covering_bang,hair_over_eye,/hooe"
3girls,0,239325,3girl
hair_bun,0,238966,
armpits,0,238539,"armpit,showing_armpits"
streaked_hair,0,237855,highlights
speech_bubble,0,235989,"speech_balloon,text_bubble,word_bubble"
chibi,0,235974,super_deformed
off_shoulder,0,235925,"off-shoulder,off_shoulders"
fate/grand_order,3,235394,fgo
blue_archive,3,235075,
kimono,0,234541,
nail_polish,0,234255,"colored_nails,nailpolish,nail_varnish,painted_nails"
tears,0,233015,tear
open_jacket,0,232191,"open_blazer,open_track_jacket"
star_(symbol),0,231750,
two-tone_hair,0,231703,"/tth,two-tone-hair,two_tone_hair"
striped_clothes,0,231330,striped_clothing
orange_hair,0,231204,
english_text,0,230814,english
black_dress,0,229219,
from_behind,0,228161,viewed_from_behind
grin,0,227528,grinning
idolmaster,3,225852,"idol_master,idolm@ster,the_idolmaster"
rabbit_ears,0,225114,"bunny_ear,bunny_ears,rabbit_ear"
black_eyes,0,224314,dark_eyes
black_jacket,0,224181,black_blazer
blurry,0,222873,blurred
bag,0,222582,bags
sweatdrop,0,221615,"sweat_drop,sweat_drops,sweatdrops"
water,0,220038,
coat,0,217458,
from_side,0,217323,"side,side_view,viewed_from_side"
genshin_impact,3,212870,genshin
yuri,0,212633,"girl_love,girl's_love,girls_love,lesbian,shoujo-ai"
hololive,3,210873,
cape,0,209989,
vest,0,209897,
white_thighhighs,0,209739,
armor,0,205745,armour
scarf,0,205396,muffler
clothes_lift,0,205391,
red_bow,0,204835,
