name,category,post_count,aliases
penis,0,975879,"alien_cock,alien_dick,alien_dong,alien_penis,avian_penis,beautiful_penis,cock,cocks,colored_penis,custom_penis,cute_penis,dick,dicks,dong,draconic_cock,draconic_penis,dragon_cock,dragon_penis,exposed_penis,inherited_penis,insect_penis,lizard_penis,massive_cock,massive_penis,member,neon_penis,peen,pene,penes,peni,penii,penises,pennis,phallus,pênis,reptile_penis,reptilian_penis,schlong,shaft"
white_background,0,895721,"/wbg,/whitebg,white_backgorund,white_backgroudn,white_backround,white_bg,whtie_background,whtie_bg"
hair,0,879980,",anime_hair,colorful_hair,gair,girly_hair,hair_style,hairstyle,neon_hair,stylish_hair"
nude,0,867188,"bareness,butt_naked,completely_naked,completely_nude,full_nudity,nacked,nake,naked,no_clothes,nude_student,nude_teacher,nudes,nudity,sfw_nudity,unclothed,undressed,wholesome_nudity"
absurdres,5,864739,",insaneres,very_high_resolution"
blonde_hair,0,860383,"/blondeh,blond,blond_hair,blonde,blonde-hair,blonde_short_hair,blondehair,dirty_blonde,dirty_blonde_hair,gold_hair,golden_hair,long_blond_hair,long_blonde_hair,long_yellow_hair,short_blond_hair,short_blonde_hair,short_yellow_hair,yellow_hair"
fur,0,859850,",furred,monochrome_fur,uncolored_fur"
black_hair,0,844432,"/blackh,black)hair,black-hair,black_hairs,blackhair,blakc_hair,dark_hair,long_black_hair,short_black_hair"
brown_hair,0,839369,"/brownh,bronw_hair,brown)hair,brown-hair,brownhair,brunette,brunette_hair,chocolate_hair,dark_brown_hair,hair_brown,light_brown_hair,long_brown_hair,short_brown_hair"
skirt,0,805028,
duo,0,796648,",pair,two_characters"
navel,0,791398,"belly-button,belly_button,bellybutton,exposed_navel,innie_navel,naval,navels,umbilici,umbilicus,umbilicuses"
large_breasts,0,774974,",/lb,big_breasts,large_boobs,large_breast,large_tits"
long_sleeves,0,766434,"/lsleeves,long_sleeve"
gloves,0,758418,"gloces,glove"
red_eyes,0,753578,"dark_red_eyes,red_eye,red_iris,red_irises,redeyes,scarlet_eyes"
multiple_girls,0,753280,",/ngirls"
bodily_fluids,0,718078,",bio_fluid,bio_fluids,biofluid,biofluids,bodily_fluid,bodily_waste,body_fluid,body_fluids,body_waste,excreta,excretion,excretory_product,excretory_waste,human_waste,human_waste_matter,secretion,secretions,waste_matter"
hat,0,695070,",cap,fancy_hat,hats"
hair_ornament,0,695014,",/hornament,hair_accessories,hair_accessory,hair_decs,hair_ornaments"
1boy,0,685858,",1boys,sole_male"
dress,0,671340,
standing,0,662362,",stadning,stand,standign,standind,standing_up,standng,stanidng,stanindg,staning,stnaidng,syanding"
commentary,5,661710,",commentaries"
holding,0,657557,",hold,holding_object"
canid,5,655342,",anthro_canid,caind,candid_(species),canidae,canide,canids,canind,feral_canid"
digital_media_(artwork),7,641268,",artwork_(digital),digital,digital-art,digital_art,digital_artwork,digital_artworks,digital_media,digital_media(art),digital_media(artwork),digital_media_(art),digital_media_artwork,digitalart,digitalartist,digitalartwork,digitaldrawing,digitalillustration,furrydigitalartist"
sex,0,640966,"coital,coitus,consensual_sex,fuck,fucked,fucking,gay_sex,getting_fucked,indoors_sex,intense_sex,inter_course,intercourse,lovemaking,mating,sexo,sexual_inter_course,sexual_intercourse,soft_sex,straight_sex,unprotected,unprotected_sex,yiff,yiffing"
jewelry,0,639850,"jewelery,jewellery,jewerly,jewlery,jewlry"
canine,5,634292,",anthro_canine,articwolfgirl,canines,caninie,cannine,cnaine,dog_boy,dog_girl,dogboy,doggirl,feral_canine,fox_boy,fox_girl,foxboy,foxgirl,k9,lap-dog,mongrel,vixengirl,wolf_boy,wolf_girl,wolfboy,wolfgirl"
pussy,0,626252,"alien_pussy,cunt,exposed_pussy,labia,labia_majora,labia_minora,manko,monotone_pussy,pussy_exposed,pussy_lips,simple_pussy,twat,vag,vagina,vertical_pussy,vulva"
sitting,0,618207,"sat,seated,sit,sit_down,siting,sitting_down,sitting_upright,sittng"
tongue,0,609882,"monotone_tongue,tonge,tongues,tougue,tounge,toungue"
teeth,0,594582,"bared_teeth,teeth_showing,teeth_visible,teethy,teth,tooth,white_teeth,white_tooth,whtie_teeth"
bad_id,5,583290,",bad_skeb_id"
green_eyes,0,578479,"emerald_eyes,green-eyes,green_eye,green_eys,green_iris,green_irises,greeneyes,light_green_eyes"
bow,0,576510,",bows"
thighhighs,0,575616,",/t,naked_thighhighs,nude_thighhighs,stocking,stockings,thigh_highs,thighhgihs,thighhigh,thighhighs_only,thighhigs,thighighs"
original,3,574639,",/o,original_character"
animal_ears,0,574282,",kemonomimi,pokemon_ears"
underwear,0,572448,"shitagi,under_wear,undergarments,underpants,underwears,undies"
clothed,0,572286,",cloted,clothed_non-humanoid_creature,clothed_student,clothed_teacher,cltohed,dressed,half-dressed,half_dressed"
text,0,568988,",colored_text,coloured_text,moonspeak,words"
hair_between_eyes,0,568410,",bangs_between_eyes"
closed_mouth,0,565791,
cleavage,0,562007,"absolute_cleavage,clevage,overboob,top_breast"
ribbon,0,534835,",ribbons"
english_text,0,529520,"english,english-text,english_dialog,english_dialogue"
balls,0,529445,",ball_sack,balls_under,ballsack,bals,human_ball,human_ball_sack,human_balls,human_ballsack,human_scrotum,human_testes,human_testicle,human_testicles,humanoid_ball,humanoid_ball_sack,humanoid_balls,humanoid_ballsack,humanoid_scrotum,humanoid_testes,humanoid_testicle,humanoid_testicles,scrotum,testes,testicals,testicle,testicles"
absurd_res,7,518549,",absurd_resolution,absurd_rez,absurdres,aburd_res,bsurd_res,holy_shit_res,insane_res"
genital_fluids,0,513530,",genital_fluid,genitalia_fluid,genitalia_fluids"
monochrome,0,509711,"/m,black_and_white,colorless,monochome,monochorme,monochromatic,monotone,no_color,no_colour,non-colored,non_coloured,uncolored,uncoloured"
butt,0,507410,",arse,ass,ass_cheek,ass_cheeks,asses,average_butt,backside,behind,bootie,booty,booty_cheek,booty_cheeks,bootycheek,bootycheeks,bootylicious,bottom,bum,bunny_buns,bunny_butt,but,buts,butt_cheek,butt_cheeks,butt_crack,buttcheek,buttcheeks,buttcrack,buttock,buttocks,butts,culo,cute_butt,dat_ass,dat_plot,datt_ass,derriere,derrière,furry_ass,furry_butt,gluteus_maximus,heinie,heiny,hindquarters,hunkers,inherited_butt,keester,keister,posterior,rear,rear_end,rears,robutt,rump,rumps,tail_end,tight_ass,toosh,tooshie,tooshy,tushie,tushy"
2girls,0,501149,",2_girls,2girl"
blue_hair,0,499533,"/blueh,aqua_hair,blue)hair,blue_hairs,bluehair,cyan_hair,dark_blue_hair,indigo_hair,light_blue_hair,long_blue_hair,short_blue_hair"
erection,0,491094,"boner,erction,erect,erect_cock,erect_penis,erected,erected_penis,erectio,erections,eretion,errected,errected_penis,errection,fully_erect,hard-on,hard_on,hard_penis,hardon,rection"
bare_shoulders,0,483062,"bare_shoulder,bareshoulders"
jacket,0,480562,
purple_eyes,0,470561,"lavender_eyes,light_purple_eyes,lilac_eyes,magenta_eyes,pruple_eyes,purple_eye,purple_iris,purple_irises,purpleeyes,violet_eyes"
cum,0,467000,"cum_filled,cummy,cumshot,jizz,semen,seminal_fluid,sperm,spooge,spunk,sticky_cum,thick_cum,white_cum"
very_long_hair,0,465498,",/vlh,hair_past_waist"
brown_eyes,0,463916,"browneyes,hazel_eyes,light_brown_eyes"
bad_pixiv_id,5,459103,
medium_breasts,0,457158,",medium_boobs,medium_breast"
touhou,3,449920,"/to,curiosities_of_lotus_asia,dolls_in_pseudo_paradise,double_dealing_character,eastern_and_little_nature_deity,forbidden_scrollery,ghostly_field_club,highly_responsive_to_prayers,hopeless_masquerade,immaterial_and_missing_power,imperishable_night,legacy_of_lunatic_kingdom,lotus_land_story,mountain_of_faith,mystic_square,perfect_cherry_blossom,phantasmagoria_of_dim.dream,phantasmagoria_of_flower_view,scarlet_weather_rhapsody,silent_sinner_in_blue,story_of_eastern_wonderland,subterranean_animism,the_embodiment_of_scarlet_devil,toho,touhou_(pc-98),touhou_hisoutensoku,touhou_project,touhou_sangetsusei,undefined_fantastic_object,urban_legend_in_limbo,wild_and_horned_hermit"
twintails,0,444961,",/tt,twin_tails,twintaiks,twintail"
yellow_eyes,0,439313,"amber_eyes,gold_eyes,golden_eyes,hazel_eyes,hazeleyes,yellow_eye,yellow_iris,yellow_irises,yelloweyes"
white_hair,0,430598,"long_white_hair,short_white_hair,white)hair,whitehair,whtie_hair"
comic,0,420736,"comic_page,comic_strip,comics,cómic,dojin,doujin,doujinshi,manga"
penetration,0,420728,",girly_penetrating,insertion,male_penetration,non-humanoid_creature_penetrated,non-humanoid_creature_penetrating,pemetrating,pemetration,penatration,penetracion,penetraiton,penetrasion,penetrated,penetratin,penetrating,penitration,pentrating,ridiculous_penetration"
wings,0,419812,"2_wings,wing,winged"
white_shirt,0,418144,",white_blouse"
lying,0,416764,"lay,laying,laying_down,lying_down"
